# filename, bb_left, bb_top, bb_right, bb_bottom, white_bg, orientation
1.jpg,30,52,246,147,1,right_front
4.jpg,67,84,581,407,0,left_front
11.jpg,30,20,438,253,0,left_back
12.jpg,14,21,242,156,0,left_front
18.jpg,113,66,554,369,0,left_front
20.jpg,25,56,569,416,0,left_front
37.jpg,27,72,591,414,0,right_front
38.jpg,13,56,215,143,0,right_front
48.jpg,47,95,848,622,0,right_front
55.jpg,84,169,561,443,0,right_front
68.jpg,31,92,470,331,0,left_back
71.jpg,54,36,430,339,0,left_back
74.jpg,19,50,599,367,0,right_front
75.jpg,33,92,596,436,0,front
79.jpg,144,117,871,527,0,right_front
90.jpg,32,91,582,360,0,left_front
100.jpg,33,70,234,164,0,back
119.jpg,361,347,1189,747,0,unspecified
128.jpg,122,149,743,455,0,left_back
129.jpg,39,105,602,367,0,left_front
130.jpg,27,74,774,449,0,front
133.jpg,54,94,611,393,0,unspecified
136.jpg,61,103,751,472,0,right_front
141.jpg,12,56,398,297,0,front
150.jpg,84,13,418,310,0,right
161.jpg,58,104,516,278,0,left_front
168.jpg,49,114,615,471,0,right_back
170.jpg,44,14,588,448,0,unspecified
174.jpg,34,82,250,165,0,right_front
182.jpg,39,18,276,190,0,left_front
186.jpg,29,128,599,391,0,left_front
188.jpg,7,57,255,159,0,left_front
195.jpg,67,164,607,439,0,left_front
215.jpg,47,161,569,366,0,left_front
220.jpg,43,164,603,355,0,left_front
222.jpg,13,21,493,362,1,right_back
242.jpg,86,92,560,355,0,left_front
247.jpg,42,78,598,405,0,right_front
258.jpg,39,80,606,393,0,left_front
260.jpg,19,53,620,366,0,left_front
261.jpg,39,72,602,403,0,left_back
266.jpg,41,188,602,357,1,left_back
267.jpg,17,29,422,202,0,unspecified
277.jpg,50,86,487,301,0,right_back
280.jpg,79,15,555,416,0,front
294.jpg,67,118,959,617,0,right_front
304.jpg,65,85,548,420,0,left_front
318.jpg,83,55,465,324,0,unspecified
322.jpg,35,146,593,339,0,unspecified
326.jpg,65,130,555,318,0,right_back
334.jpg,41,95,1017,583,0,left_front
352.jpg,25,16,532,227,0,left_back
355.jpg,13,49,394,232,0,right_front
359.jpg,25,41,588,419,0,left_front
369.jpg,75,126,523,425,0,left_front
373.jpg,30,45,456,306,0,right
374.jpg,66,51,766,555,0,right_front
377.jpg,36,84,567,371,0,right_front
384.jpg,67,87,619,378,0,right_front
394.jpg,35,88,517,343,0,right_back
396.jpg,42,53,546,390,0,right_front
400.jpg,73,84,944,590,0,left_front
401.jpg,24,98,613,360,0,back
405.jpg,48,114,547,432,0,right_front
406.jpg,28,142,513,343,0,left_front
411.jpg,169,54,475,316,0,front
420.jpg,65,91,596,409,0,unspecified
423.jpg,51,281,965,686,0,unspecified
428.jpg,78,39,502,306,0,right_front
437.jpg,20,32,249,170,0,unspecified
439.jpg,23,72,517,340,0,left_front
441.jpg,76,71,479,242,0,right_front
442.jpg,21,16,292,186,0,left_front
450.jpg,34,144,605,341,0,right_front
457.jpg,31,20,226,119,0,right_front
465.jpg,31,105,597,359,0,unspecified
497.jpg,55,104,591,386,0,right
499.jpg,140,55,504,410,0,left_front
501.jpg,47,109,595,389,0,right_front
506.jpg,73,97,605,422,0,left_back
526.jpg,14,56,388,243,0,left
532.jpg,23,107,313,326,0,right_back
533.jpg,77,171,505,389,0,left
535.jpg,114,32,598,339,0,unspecified
539.jpg,31,17,256,166,0,left_front
546.jpg,190,150,905,574,0,right
549.jpg,36,78,999,615,0,left_front
553.jpg,72,63,509,320,0,left_front
569.jpg,47,77,619,450,0,left_front
576.jpg,54,81,915,484,0,front
578.jpg,37,91,575,350,0,right_front
583.jpg,56,64,474,323,0,left_back
597.jpg,39,116,592,398,0,front
612.jpg,24,33,253,170,0,right_front
621.jpg,94,74,607,325,0,right_back
633.jpg,23,45,237,165,0,left_front
659.jpg,16,63,241,172,0,left_front
670.jpg,201,107,830,679,0,left_front
671.jpg,78,126,529,408,0,left_front
685.jpg,101,125,1043,745,0,right_back
690.jpg,36,41,262,197,0,left_front
693.jpg,56,78,433,305,0,right
696.jpg,25,29,378,235,0,front
708.jpg,51,160,834,490,0,front
715.jpg,11,52,318,212,1,right_front
720.jpg,69,102,609,419,0,left_front
735.jpg,190,52,513,367,0,left_front
736.jpg,84,380,1543,895,0,left_front
741.jpg,26,102,564,348,0,right_front
744.jpg,40,78,569,351,0,left_front
754.jpg,35,15,632,452,0,right_front
757.jpg,28,33,626,286,0,left_front
761.jpg,25,31,567,433,0,left_back
762.jpg,25,120,617,361,0,left_front
776.jpg,75,69,690,529,0,right_front
798.jpg,286,238,1480,922,0,not_a_car
812.jpg,19,44,305,199,0,left_front
822.jpg,27,90,593,399,0,back
828.jpg,73,69,542,373,1,front
829.jpg,89,52,546,262,0,right_front
839.jpg,25,130,615,422,0,unspecified
841.jpg,18,28,225,120,0,left_front
846.jpg,55,102,573,395,0,unspecified
849.jpg,12,33,292,171,0,unspecified
852.jpg,127,45,665,412,0,right
858.jpg,90,66,394,278,0,unspecified
859.jpg,163,151,604,431,0,right_front
865.jpg,31,74,235,192,0,left_front
866.jpg,32,35,413,256,0,left
878.jpg,22,28,262,177,0,left_back
903.jpg,29,61,412,273,0,left_front
908.jpg,41,59,435,315,0,left_front
914.jpg,42,12,299,218,0,front
931.jpg,34,14,276,208,0,front
935.jpg,54,70,366,212,0,right_front
939.jpg,85,48,590,427,0,right_front
941.jpg,16,59,420,295,0,right_front
943.jpg,48,63,689,434,0,right_front
961.jpg,29,33,624,331,0,back
968.jpg,59,18,458,288,0,left_front
969.jpg,63,28,533,364,0,right_front
986.jpg,25,31,393,289,0,left_front
987.jpg,41,73,621,419,0,right_front
993.jpg,142,136,667,558,0,right_front
996.jpg,29,154,604,353,0,left_front
1015.jpg,102,64,634,418,0,front
1027.jpg,26,54,240,149,0,front
1032.jpg,42,186,958,611,0,left
1034.jpg,86,45,603,375,0,left_front
1035.jpg,25,23,761,529,0,front
1045.jpg,15,69,466,340,0,right_front
1046.jpg,27,24,771,503,0,unspecified
1052.jpg,114,53,574,393,0,right_front
1064.jpg,53,107,606,425,0,right_front
1074.jpg,190,133,1726,1198,0,left_front
1081.jpg,49,141,596,393,0,left
1086.jpg,36,113,614,346,0,left
1092.jpg,80,133,689,469,0,unspecified
1103.jpg,38,116,537,308,0,right_front
1113.jpg,29,118,554,372,1,left_front
1128.jpg,30,87,775,484,0,left_back
1137.jpg,12,35,281,179,0,left_front
1139.jpg,22,85,530,427,0,left_front
1152.jpg,25,69,350,233,0,left
1163.jpg,65,98,586,336,0,left
1167.jpg,14,16,268,169,0,right_front
1170.jpg,164,87,600,391,0,right_back
1172.jpg,19,62,387,288,1,front
1182.jpg,19,143,621,427,0,left_front
1210.jpg,85,126,571,368,0,right
1215.jpg,73,75,553,338,0,right_front
1222.jpg,11,106,358,288,0,left_front
1223.jpg,112,226,992,690,0,left_front
1224.jpg,22,57,280,214,0,left_front
1227.jpg,49,55,589,363,0,right_front
1228.jpg,24,62,246,142,0,left_front
1230.jpg,56,159,544,362,0,unspecified
1316.jpg,116,141,921,579,0,unspecified
1327.jpg,66,55,578,399,0,right
1334.jpg,37,216,973,686,0,back
1368.jpg,21,70,480,364,0,unspecified
1378.jpg,23,12,244,186,0,right_front
1382.jpg,32,196,797,523,0,left_front
1395.jpg,34,119,483,330,0,right_front
1404.jpg,126,160,949,671,0,unspecified
1409.jpg,25,40,256,157,0,right_front
1411.jpg,34,35,232,160,0,right
1437.jpg,103,17,559,368,0,unspecified
1488.jpg,34,56,589,393,0,unspecified
1493.jpg,17,52,484,305,0,left_front
1496.jpg,162,174,563,431,0,right_front
1502.jpg,15,33,294,178,0,right_back
1525.jpg,125,38,541,415,0,unspecified
1530.jpg,8,33,197,134,0,left_front
1568.jpg,8,9,250,171,0,right_front
1584.jpg,107,131,594,351,0,right_front
1586.jpg,68,115,520,354,0,right_front
1598.jpg,36,91,571,404,0,right_back
1602.jpg,130,88,389,257,0,left_front
1608.jpg,124,72,876,704,0,right_front
1610.jpg,40,80,567,366,0,right_back
1617.jpg,32,59,200,165,0,unspecified
1624.jpg,87,42,435,339,0,left_front
1638.jpg,80,81,547,358,0,left_front
1673.jpg,24,28,477,322,0,left_front
1685.jpg,155,151,853,633,0,right_front
1706.jpg,97,47,704,469,0,left_back
1707.jpg,52,203,984,593,0,right_front
1709.jpg,40,203,1021,575,0,right_front
1712.jpg,59,90,450,336,0,left_front
1732.jpg,69,51,370,276,0,left_front
1733.jpg,17,48,249,164,0,right_front
1738.jpg,83,10,560,425,0,right_front
1739.jpg,20,26,632,409,0,left_front
1750.jpg,34,29,567,427,0,left_front
